,,,
,,,
,,,
District,LAT,LONG,TECHNOLOGY
Bo,7.936888,-11.468037,2G/3G
Koinadugu,9.250052,-11.583455,2G/3G
Bo,7.774230,-12.147949,2G/3G
Bombali,8.950167,-11.983258,2G/3G
Bo,7.865922,-11.710274,2G/3G
Moyamba,7.797470,-12.298003,2G/3G
Bombali,9.147877,-11.959757,2G/3G
Bonthe,7.664408,-12.278405,2G/3G/4G
Pujehun,7.318590,-11.848260,2G/3G
Bo,7.891040,-11.906990,2G/3G
Tonkolili,9.022049,-11.667819,2G/3G
Kono,8.660848,-11.007752,2G/3G
Koinadugu,9.589409,-11.546852,2G/3G/4G
Western Area (Urban),8.435681,-13.200800,2G/3G/4G
BO,7.653731,-11.967545,2G/3G/4G
Koinadugu,9.389373,-11.767246,2G/3G
Western Area (Urban),8.470930,-13.271570,2G/3G/4G
Koinadugu,9.577925,-11.546795,2G/3G
Pujehun,7.024570,-11.388460,2G/3G
Pujehun,7.155790,-11.374310,2G/3G
Koinadugu,9.661688,-11.718794,2G/3G
Pujehun,6.968440,-11.575350,2G/3G
Western Area (Urban),8.495610,-13.296650,2G/3G/4G
Western Area (Urban),8.496470,-13.287250,2G/3G/4G
Karene,9.571114,-12.222909,2G/3G
Koinadugu,9.688573,-11.720624,2G/3G
Tonkolili,8.478593,-12.305485,2G/3G
Bonthe,7.526478,-12.505049,2G/3G/4G
Kono,8.891340,-11.158620,2G/3G
kono,8.750270,-11.105550,2G/3G
Kenema,7.457970,-11.238130,2G/3G
Bombali,8.889070,-12.047091,2G/3G
bombali,8.817916,-12.041374,2G/3G/4G
Western Area (Urban),8.450562,-13.238713,2G/3G/4G
Western Area (Urban),8.447560,-13.270600,2G/3G/4G
Western Area (Urban),8.461846,-13.256367,2G/3G/4G
Western Area (Urban),8.465836,-13.243336,2G/3G/4G
bonthe,7.564747,-12.089651,2G/3G/4G
Bombali,9.325044,-11.910781,2G/3G
Falaba,9.709185,-11.548924,2G/3G
Tonkolili,8.821302,-11.753601,2G/3G
Kenema,7.692453,-11.056135,2G/3G
Falaba,9.914860,-11.441700,2G/3G
Falaba,9.891150,-11.304900,2G/3G
BO,7.983000,-11.737553,2G/3G/4G
BO,7.955580,-11.713400,2G/3G/4G
KENEMA,7.858860,-11.187200,2G/3G
Koinadugu,9.150521,-11.391310,2G/3G
Tonkolili,9.066788,-11.483151,2G/3G
Koinadugu,9.249383,-11.456082,2G/3G
bo,7.792657,-12.053330,2G/3G
bombali,8.919572,-12.030418,2G/3G
Western Area (Urban),8.490720,-13.283400,2G/3G/4G
Karene,9.675159,-12.223282,2G/3G
Western Area (Urban),8.476120,-13.239000,2G/3G/4G
Western Area (Urban),8.457740,-13.252400,2G/3G/4G
Western Area (Urban),8.448640,-13.274300,2G/3G/4G
Western Area (Urban),8.484210,-13.243900,2G/3G/4G
Western Area (Rural),8.404140,-13.265188,2G/3G/4G
Western Area (Urban),8.449420,-13.222980,2G/3G/4G
Western Area (Urban),8.421460,-13.287500,2G/3G/4G
Western Area (Urban),8.488570,-13.266400,2G/3G/4G
Western Area (Rural),8.347068,-13.224659,2G/3G/4G
Kenema,7.774284,-11.142494,2G/3G
Western Area (Urban),8.475095,-13.262395,2G/3G/4G
Western Area (Urban),8.470620,-13.276600,2G/3G/4G
Western Area (Rural),8.287365,-13.182079,2G/3G/4G
Kenema,8.473641,-11.438894,2G/3G
Western Area (Urban),8.476470,-13.248300,2G/3G/4G
Western Area (Rural),8.261030,-13.163300,2G/3G/4G
Pujehun,7.413801,-11.538847,2G/3G/4G
Western Area (Urban),8.487040,-13.264000,2G/3G/4G
Western Area (Urban),8.479809,-13.271903,2G/3G/4G
Western Area (Urban),8.465300,-13.253500,2G/3G/4G
Western Area (Urban),8.446276,-13.230610,2G/3G/4G
Western Area (Urban),8.469180,-13.243910,2G/3G/4G
Western Area (Urban),8.488116,-13.247680,2G/3G/4G
Western Area (Urban),8.448750,-13.256400,2G/3G/4G
Western Area (Urban),8.434640,-13.270900,2G/3G/4G
Western Area (Urban),8.453410,-13.266300,2G/3G/4G
Western Area (Urban),8.456850,-13.259400,2G/3G/4G
Western Area (Urban),8.465600,-13.262200,2G/3G/4G
Western Area (Urban),8.471522,-13.256223,2G/3G/4G
Western Area (Urban),8.479470,-13.241890,2G/3G/4G
Moyamba,7.938444,-12.536946,2G
Western Area (Urban),8.456000,-13.235300,2G/3G/4G
Western Area (Urban),8.427923,-13.285882,2G/3G/4G
Western Area (Urban),8.462024,-13.269175,2G/3G/4G
Western Area (Urban),8.479225,-13.284822,2G/3G/4G
Bonthe,7.807126,-12.382187,2G/3G
Pujehun,7.549339,-11.805204,2G/3G/4G
Western Area (Urban),8.492458,-13.265983,2G/3G/4G
Western Area (Urban),8.485170,-13.271200,2G/3G/4G
Western Area (Urban),8.413635,-13.264048,2G/3G/4G
Kono,8.669038,-11.186728,2G/3G
Tonkolili,9.045456,-11.747798,2G/3G
Koinadugu,9.583488,-11.550022,2G/3G
Karene,9.500014,-12.233294,2G/3G
Tonkolili,8.679083,-12.030830,2G/3G
Tonkolili,8.716818,-11.943321,2G/3G/4G
Tonkolili,8.634440,-11.689500,2G/3G
Bombali,8.894439,-12.065439,2G/3G/4G
Bombali,8.875350,-12.054600,2G/3G/4G
Tonkolili,8.636680,-11.472243,2G/3G
Kono,8.547991,-11.089549,2G/3G
Karene,9.209687,-12.229140,2G/3G
Kono,8.651030,-10.977700,2G/3G/4G
Kono,8.624312,-10.991618,2G/3G/4G
Kono,8.638102,-10.964161,2G/3G/4G
Kono,8.615354,-11.042825,2G/3G
Bombali,8.874267,-12.050200,2G/3G
PortLoko,8.392010,-12.944800,2G/3G/4G
Western Area (Rural),8.320990,-13.072500,2G/3G/4G
Karene,8.976485,-12.612760,2G/3G
Kambia,9.125981,-12.917557,2G/3G
PortLoko,8.683115,-12.533395,2G/3G/4G
PortLoko,8.766560,-12.787426,2G/3G/4G
Western Area (Urban),8.439110,-13.164600,2G/3G
PortLoko,8.708928,-12.677570,2G/3G
Bombali,8.809612,-12.265170,2G/3G
PortLoko,8.587022,-13.055800,2G/3G
PortLoko,8.681920,-12.508900,2G/3G/4G
PortLoko,8.698320,-13.238066,2G/3G
Bombali,8.712850,-12.231110,2G/3G
Western Area (Urban),8.413107,-13.131165,2G/3G/4G
Kailahun,7.991863,-10.840571,2G/3G
Kailahun,8.284880,-10.568000,2G/3G/4G
Kailahun,8.462210,-10.339400,2G/3G
Western Area (Urban),8.477210,-13.195050,2G/3G/4G
Moyamba,8.160575,-12.433227,2G/3G/4G
Kailahun,8.123310,-10.645700,2G/3G
Western Area (Urban),8.465140,-13.193300,2G/3G/4G
Moyamba,8.245580,-12.683400,2G/3G
Kailahun,8.307850,-10.531800,2G/3G
Kailahun,8.000410,-10.949600,2G/3G
Kailahun,8.065140,-10.939063,2G/3G
Western Area (Urban),8.385670,-13.145000,2G/3G/4G
Kailahun,8.099816,-10.699933,2G/3G
Kenema,8.189186,-11.340246,2G/3G
Western Area (Urban),8.376532,-13.100072,2G/3G/4G
Kailahun,8.283680,-10.366580,2G/3G
Kailahun,8.263120,-10.474570,2G/3G
Kailahun,8.146630,-10.838340,2G/3G
Kailahun,8.379350,-10.821200,2G
Kambia,8.939228,-13.114775,2G/3G
Portloko,8.936972,-12.863972,2G/3G
Western Area (Urban),8.463660,-13.185500,2G/3G/4G
PortLoko,8.581046,-13.058580,2G/3G
Kenema,8.210863,-11.050936,2G/3G
Bombali,9.027750,-12.160405,2G/3G
Western Area (Rural),8.330720,-13.072100,2G/3G/4G
PortLoko,8.686594,-12.997512,2G/3G
Kambia,9.288857,-12.671153,2G/3G
Western Area (Rural),8.329780,-13.054650,2G/3G
Kailahun,7.992400,-10.753800,2G/3G
Western Area (Urban),8.453915,-13.170591,2G/3G/4G
Kailahun,8.143920,-10.656662,2G/3G
Western Area (Urban),8.405533,-13.148847,2G/3G/4G
Western Area (Urban),8.465310,-13.178440,2G/3G
Western Area (Urban),8.453465,-13.180106,2G/3G/4G
PortLoko,8.605081,-13.198528,2G/3G
PortLoko,8.522981,-13.148938,2G/3G
Kenema,8.121621,-11.008610,2G/3G
Kenema,8.125030,-11.237700,2G/3G
Western Area (Urban),8.471920,-13.197070,2G/3G/4G
Karene,9.069670,-12.414700,2G/3G
Western Area (Rural),8.347630,-12.989100,2G/3G/4G
Bombali,8.689760,-12.237700,2G/3G
Kenema,8.163115,-10.945070,2G/3G
Western Area (Urban),8.450170,-13.173790,2G/3G/4G
Western Area (Rural),8.197650,-13.121400,2G/3G/4G
Kenema,8.350038,-11.332212,2G/3G/4G
KENEMA,8.186010,-11.134920,2G/3G
Western Area (Rural),8.268685,-12.981645,2G/3G/4G
Koinadugu,9.516850,-11.363970,2G/3G
Western Area (Urban),8.433330,-13.160900,2G/3G/4G
Western Area (Urban),8.491377,-13.209388,2G/3G/4G
Western Area (Urban),8.492270,-13.234370,2G/3G/4G
Western Area (Rural),8.320756,-13.061895,2G/3G/4G
Western Area (Urban),8.477924,-13.219589,2G/3G/4G
Western Area (Urban),8.486740,-13.228900,2G/3G/4G
Tonkolili,8.668170,-12.334020,2G/3G
Western Area (Urban),8.485990,-13.237500,2G
Western Area (Urban),8.482090,-13.205047,2G/3G/4G
Western Area (Rural),8.335820,-13.039700,2G/3G/4G
Western Area (Urban),8.484010,-13.238400,2G/3G/4G
Western Area (Urban),8.487210,-13.222500,2G/3G/4G
PortLoko,8.555492,-13.164853,2G/3G
Western Area (Urban),8.488670,-13.231500,2G/3G/4G
PortLoko,8.468808,-12.826463,2G/3G/4G
Tonkolili,8.459873,-12.500201,2G/3G
Western Area (Urban),8.383990,-13.122800,2G/3G/4G
Kambia,9.172900,-12.954100,2G/3G
Kambia,9.368280,-12.674400,2G/3G
PortLoko,8.687990,-12.540300,2G/3G
